QdB, laserPowerdBmArray, segmentLength_1, percComp, fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
6.697,-6,16,0,250,112,0.16,0.158
7.0419,-5,16,0,250,112,0.16,0.158,20
7.1845,-4,16,0,250,112,0.16,0.158
7.341,-3,16,0,250,112,0.16,0.158
6.9065,-2,16,0,250,112,0.16,0.158
6.1203,-1,16,0,250,112,0.16,0.158,20
5.4875,0,16,0,250,112,0.16,0.158
2.3341,2,16,0,250,112,0.16,0.158,20
5.2001,-9,18,0,250,112,0.16,0.158
0.54846,0,0,0,250,112,0.16,0.158
5.675,-8,18,0,250,112,0.16,0.158,20
6.146,-7,18,0,250,112,0.16,0.158,20
6.4093,-6,18,0,250,112,0.16,0.158,20
6.8664,-5,18,0,250,112,0.16,0.158
7.2248,-4,18,0,250,112,0.16,0.158
7.2522,-3,18,0,250,112,0.16,0.158
7.2134,-2,18,0,250,112,0.16,0.158,20
6.7746,-1,18,0,250,112,0.16,0.158,20
5.6261,0,18,0,250,112,0.16,0.158,20
4.258,1,18,0,250,112,0.16,0.158
-0.48351,1,0,0,250,112,0.16,0.158
3.3235,2,18,0,250,112,0.16,0.158,20
5.0955,-9,20,0,250,112,0.16,0.158
5.5004,-8,20,0,250,112,0.16,0.158,20
5.8238,-7,20,0,250,112,0.16,0.158,20
6.3767,-6,20,0,250,112,0.16,0.158,20
6.6937,-5,20,0,250,112,0.16,0.158
7.2501,-2,20,0,250,112,0.16,0.158,20
6.9192,-1,20,0,250,112,0.16,0.158,20
-2.7094,2,0,0,250,112,0.16,0.158
6.4291,0,20,0,250,112,0.16,0.158
5.1962,1,20,0,250,112,0.16,0.158
3.4521,2,20,0,250,112,0.16,0.158
5.7709,-9,2,0,250,112,0.16,0.158
6.5213,-8,2,0,250,112,0.16,0.158
7.0933,-7,2,0,250,112,0.16,0.158
7.5391,-6,2,0,250,112,0.16,0.158
7.4727,-5,2,0,250,112,0.16,0.158
7.1947,-4,2,0,250,112,0.16,0.158
6.606,-3,2,0,250,112,0.16,0.158
5.7534,-9,0,0,250,112,0.16,0.158
5.2915,-2,2,0,250,112,0.16,0.158
3.513,-1,2,0,250,112,0.16,0.158
1.5136,0,2,0,250,112,0.16,0.158
0.68488,1,2,0,250,112,0.16,0.158,20
-2.9582,2,2,0,250,112,0.16,0.158
5.7459,-9,4,0,250,112,0.16,0.158
6.4625,-8,4,0,250,112,0.16,0.158
7.0153,-7,4,0,250,112,0.16,0.158
7.4491,-6,4,0,250,112,0.16,0.158,20
7.5551,-5,4,0,250,112,0.16,0.158
6.5405,-8,0,0,250,112,0.16,0.158
7.4258,-4,4,0,250,112,0.16,0.158
6.7185,-3,4,0,250,112,0.16,0.158
5.4843,-2,4,0,250,112,0.16,0.158,20
3.4674,-1,4,0,250,112,0.16,0.158,20
2.6832,0,4,0,250,112,0.16,0.158
0.4231,1,4,0,250,112,0.16,0.158,20
-2.0947,2,4,0,250,112,0.16,0.158
5.662,-9,6,0,250,112,0.16,0.158
6.3295,-8,6,0,250,112,0.16,0.158
6.9704,-7,6,0,250,112,0.16,0.158,20
7.159,-7,0,0,250,112,0.16,0.158
7.3576,-6,6,0,250,112,0.16,0.158
7.511,-5,6,0,250,112,0.16,0.158
7.4132,-4,6,0,250,112,0.16,0.158
7.0286,-3,6,0,250,112,0.16,0.158,20
6.1793,-2,6,0,250,112,0.16,0.158
5.1205,-1,6,0,250,112,0.16,0.158
2.5109,0,6,0,250,112,0.16,0.158
1.6645,1,6,0,250,112,0.16,0.158
0.26537,2,6,0,250,112,0.16,0.158
5.5698,-9,8,0,250,112,0.16,0.158
7.3745,-6,0,0,250,112,0.16,0.158
6.2294,-8,8,0,250,112,0.16,0.158,20
6.8235,-7,8,0,250,112,0.16,0.158
7.1429,-6,8,0,250,112,0.16,0.158
7.4212,-5,8,0,250,112,0.16,0.158
7.3994,-4,8,0,250,112,0.16,0.158,20
6.9899,-3,8,0,250,112,0.16,0.158
6.4647,-2,8,0,250,112,0.16,0.158,20
5.594,-1,8,0,250,112,0.16,0.158
2.0474,0,8,0,250,112,0.16,0.158
1.4931,1,8,0,250,112,0.16,0.158
7.282,-5,0,0,250,112,0.16,0.158
0.22548,2,8,0,250,112,0.16,0.158
5.463,-9,10,0,250,112,0.16,0.158
6.051,-8,10,0,250,112,0.16,0.158
6.6362,-7,10,0,250,112,0.16,0.158
7.0248,-6,10,0,250,112,0.16,0.158
7.3711,-5,10,0,250,112,0.16,0.158
7.481,-4,10,0,250,112,0.16,0.158
7.1329,-3,10,0,250,112,0.16,0.158
6.6092,-2,10,0,250,112,0.16,0.158
6.0903,-1,10,0,250,112,0.16,0.158,20
6.2783,-4,0,0,250,112,0.16,0.158
4.0929,0,10,0,250,112,0.16,0.158,20
1.8751,1,10,0,250,112,0.16,0.158,20
0.52717,2,10,0,250,112,0.16,0.158
5.4376,-9,12,0,250,112,0.16,0.158
6.0709,-8,12,0,250,112,0.16,0.158
6.4565,-7,12,0,250,112,0.16,0.158
6.9119,-6,12,0,250,112,0.16,0.158
7.2532,-5,12,0,250,112,0.16,0.158
7.4739,-4,12,0,250,112,0.16,0.158,20
7.2301,-3,12,0,250,112,0.16,0.158,20
6.1361,-3,0,0,250,112,0.16,0.158
6.8209,-2,12,0,250,112,0.16,0.158
5.2224,-1,12,0,250,112,0.16,0.158,20
4.6342,0,12,0,250,112,0.16,0.158
3.2801,1,12,0,250,112,0.16,0.158
0.92884,2,12,0,250,112,0.16,0.158
5.3558,-9,14,0,250,112,0.16,0.158
5.8596,-8,14,0,250,112,0.16,0.158
6.333,-7,14,0,250,112,0.16,0.158
6.778,-6,14,0,250,112,0.16,0.158,20
7.1259,-5,14,0,250,112,0.16,0.158,20
5.2814,-2,0,0,250,112,0.16,0.158
7.3487,-4,14,0,250,112,0.16,0.158
5.9,-1,14,0,250,112,0.16,0.158,20
4.7963,0,14,0,250,112,0.16,0.158
4.3512,1,14,0,250,112,0.16,0.158
5.3068,-9,16,0,250,112,0.16,0.158
6.2527,-7,16,0,250,112,0.16,0.158
2.7167,-1,0,0,250,112,0.16,0.158
